timestamp,plate,status
2026-04-24 15:52:43,UP78CZ4000,VIP
2026-04-24 15:54:10,UP78HE3137,UNKNOWN
2026-04-24 15:54:22,UP78FP7627,UNKNOWN
2026-04-24 15:54:45,OD78HY6050,VIP
2026-04-24 15:54:57,UP78H95531,Resident
2026-04-24 15:55:44,UP08EC9470,BLACKLIST (Suspicious)
2026-04-24 15:56:22,UP78CZ4000,VIP
2026-04-24 15:57:53,OD78UV3337,Staff
2026-04-24 15:58:41,UP06CR1765,UNKNOWN
2026-04-24 16:00:26,UP79I97512,Staff
2026-04-24 16:05:00,UP78HE3137,UNKNOWN
2026-04-24 16:05:11,UP78FP7627,UNKNOWN
2026-04-24 16:05:35,OD78HY6050,VIP
2026-04-24 16:05:50,UP78H95531,Resident
2026-04-24 16:06:30,UP08EC9470,BLACKLIST (Suspicious)
2026-04-24 16:06:47,UP78CZ4000,VIP
2026-04-24 16:08:00,OD78UV3337,Staff
2026-04-24 16:08:41,UP06CR1765,UNKNOWN
2026-04-24 16:10:00,UP79I97512,Staff
2026-04-24 16:10:10,OD25263649,BLACKLIST (Stolen)
2026-04-24 16:11:36,UP78HE3137,UNKNOWN
2026-04-24 16:11:47,UP78FP7627,UNKNOWN
2026-04-24 16:16:22,UP78HE3137,UNKNOWN
2026-04-24 16:16:35,UP78FP7627,UNKNOWN
2026-04-24 16:16:59,OD78HY6050,VIP
2026-04-24 16:17:14,UP78H95531,Resident
2026-04-24 16:18:01,UP08EC9470,BLACKLIST (Suspicious)
2026-04-24 16:18:38,UP78CZ4000,VIP
2026-04-24 16:20:09,OD78UV3337,Staff
2026-04-24 16:20:50,UP06CR1765,UNKNOWN
2026-04-24 16:26:13,UP78HE3137,UNKNOWN
2026-04-24 16:26:32,UP78FP7627,UNKNOWN
2026-04-25 11:17:26,UP78HE3137,UNKNOWN
2026-04-25 11:17:35,UP78FP7627,UNKNOWN
2026-04-25 11:18:56,OD78HY6050,VIP
2026-04-25 11:19:05,UP78H95531,Resident
2026-04-25 11:19:34,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:20:03,UP78CZ4000,VIP
2026-04-25 11:20:50,OD78UV3337,Staff
2026-04-25 11:21:36,UP06CR1765,UNKNOWN
2026-04-25 11:23:18,UP78HE3137,VIP
2026-04-25 11:23:27,UP78FP7627,UNKNOWN
2026-04-25 11:23:38,OD78HY6050,VIP
2026-04-25 11:23:42,UP78H95531,Resident
2026-04-25 11:23:58,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:24:58,UP78HE3137,VIP
2026-04-25 11:25:10,UP78FP7627,UNKNOWN
2026-04-25 11:25:34,OD78HY6050,VIP
2026-04-25 11:25:48,UP78H95531,Resident
2026-04-25 11:26:33,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:26:55,UP78CZ4000,VIP
2026-04-25 11:27:37,OD78UV3337,Staff
2026-04-25 11:28:27,UP06CR1765,UNKNOWN
2026-04-25 11:32:42,UP79I97512,Staff
2026-04-25 11:32:46,OD25263649,BLACKLIST (Stolen)
2026-04-25 11:32:58,UP78ES9080,VIP
2026-04-25 11:33:01,UP08Q72577,Resident
2026-04-25 11:36:08,UP78HE3137,VIP
2026-04-25 11:36:20,UP78FP7627,UNKNOWN
2026-04-25 11:36:43,OD78HY6050,VIP
2026-04-25 11:36:56,UP78H95531,Resident
2026-04-25 11:37:42,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:38:19,UP78CZ4000,VIP
2026-04-25 11:39:35,OD78UV3337,Staff
2026-04-25 11:40:11,UP06CR1765,UNKNOWN
2026-04-25 11:45:20,UP79I97512,Staff
2026-04-25 11:45:24,OD25263649,BLACKLIST (Stolen)
2026-04-25 11:45:36,UP78ES9080,VIP
2026-04-25 11:45:39,UP08Q72577,Resident
2026-04-25 11:47:44,UP78HE3137,VIP
2026-04-25 11:47:55,UP78FP7627,UNKNOWN
2026-04-25 11:48:33,OD78HY6050,VIP
2026-04-25 11:48:44,UP78H95531,Resident
2026-04-25 11:49:20,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:49:51,UP78CZ4000,VIP
2026-04-25 11:51:25,OD78UV3337,Staff
2026-04-25 11:55:12,UP78HE3137,VIP
2026-04-25 11:55:25,UP78FP7627,UNKNOWN
2026-04-25 11:55:32,OD78HY6050,VIP
2026-04-25 11:55:37,UP78H95531,Resident
